Step,Value,a,a
0.000000,1.000000,1.000000,1.000000
0.025000,1.000000,1.000000,1.000000
0.050000,1.000000,1.000000,1.000000
0.075000,1.000000,1.000000,1.000000
0.100000,1.000000,1.000000,1.000000
0.125000,1.000000,1.000000,1.000000
0.150000,1.000000,1.000000,1.000000
0.175000,1.000000,1.000000,1.000000
0.200000,0.980769,0.980769,0.980769
0.225000,0.980769,0.980769,0.980769
0.250000,0.980769,0.980769,0.980769
0.275000,0.980769,0.980769,0.980769
0.300000,0.980769,0.980769,0.980769
0.325000,0.980769,0.980769,0.980769
0.350000,0.980769,0.980769,0.980769
0.375000,0.980769,0.980769,0.980769
0.400000,0.968254,0.968254,0.968254
0.425000,0.968254,0.968254,0.968254
0.450000,0.968254,0.968254,0.968254
0.475000,0.962963,0.962963,0.962963
0.500000,0.962963,0.962963,0.962963
0.525000,0.962963,0.962963,0.962963
0.550000,0.962963,0.962963,0.962963
0.575000,0.962963,0.962963,0.962963
0.600000,0.953488,0.953488,0.953488
0.625000,0.913978,0.913978,0.913978
0.650000,0.907216,0.907216,0.907216
0.675000,0.904762,0.904762,0.904762
0.700000,0.904762,0.904762,0.904762
0.725000,0.890909,0.890909,0.890909
0.750000,0.000000,0.000000,0.000000
0.775000,0.000000,0.000000,0.000000
0.800000,0.000000,0.000000,0.000000
0.825000,0.000000,0.000000,0.000000
0.850000,0.000000,0.000000,0.000000
0.875000,0.000000,0.000000,0.000000
0.900000,0.000000,0.000000,0.000000
0.925000,0.000000,0.000000,0.000000
0.950000,0.000000,0.000000,0.000000
0.975000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
